title,description,providing_technologies,category,usecase,mitre_tactics,mitre_techniques,killchain,qualified_search
First Time Access to Jump Server for Peer Group,Detect a user who is logging into a jump server that neither they nor any of their peers have accessed before.,"['Windows Security', 'Authentication']","Lateral Movement, Insider Threat","Insider Threat, Advanced Threat Detection","['Lateral Movement', 'Initial Access']","['Valid Accounts', 'Remote Desktop Protocol']","['Installation', 'Actions on Objectives']","index=* host=jump* source=""*WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) (EventCode=4624 OR EventCode=4647 OR EventCode=4648 OR EventCode=551 OR EventCode=552 OR EventCode=540 OR EventCode=528 OR EventCode=4768 OR EventCode=4769 OR EventCode=4770 OR EventCode=4771 OR EventCode=4768 OR EventCode=4774 OR EventCode=4776 OR EventCode=4778 OR EventCode=4779 OR EventCode=672 OR EventCode=673 OR EventCode=674 OR EventCode=675 OR EventCode=678 OR EventCode=680 OR EventCode=682 OR EventCode=683)| stats earliest(_time) as earliest latest(_time) as latest  by user, dest | where earliest > relative_time(now(), ""-1d@d"") "
First Time Accessing an Internal Git Repository,Find users who accessed a git repository for the first time.,['Web Server'],Data Exfiltration,"Insider Threat, Advanced Threat Detection",['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=* source=""*/atlassian-bitbucket-access.log"" | rex ""GET /projects/[^/]*/repos/(?<git_repo>[^/]*)"" | rex ""(?<git_repo>[^/]*)\.git"" | rex ""git\.[^ /]{1,}/projects/[^/]*/repos/(?<git_repo>[^/]*)"" | eval comment = ""<-- verify these regex in your env""  | search  git_repo=""*""| stats earliest(_time) as earliest latest(_time) as latest  by user, git_repo | where earliest > relative_time(now(), ""-1d@d"") "
First Time Accessing an Internal Git Repository Not Viewed by Peers,"Find users who accessed a git repository for the first time, where their peer group also hasn't accessed it before.",['Web Server'],Data Exfiltration,Insider Threat,['Collection'],['Data from Information Repositories'],['Actions on Objectives'],
First Time Logon to New Server,Find users who logged into a new server for the first time.,"['Authentication', 'Windows Security']","Lateral Movement, GDPR","Advanced Threat Detection, Compliance, Security Monitoring",['Lateral Movement'],"['Remote Services', 'Remote Desktop Protocol']","['Installation', 'Actions On Objectives']","index=* source=""*WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) (EventCode=4624 OR EventCode=4647 OR EventCode=4648 OR EventCode=551 OR EventCode=552 OR EventCode=540 OR EventCode=528 OR EventCode=4768 OR EventCode=4769 OR EventCode=4770 OR EventCode=4771 OR EventCode=4768 OR EventCode=4774 OR EventCode=4776 OR EventCode=4778 OR EventCode=4779 OR EventCode=672 OR EventCode=673 OR EventCode=674 OR EventCode=675 OR EventCode=678 OR EventCode=680 OR EventCode=682 OR EventCode=683)| stats earliest(_time) as earliest latest(_time) as latest  by user, dest | where earliest > relative_time(now(), ""-1d@d"") "
First Time Seen Running Windows Service,This search looks for the first and last time a Windows service is seen running in your environment. This table is then cached.,['Windows Security'],Malware,Security Monitoring,['Execution'],['System Services'],"['Installation', 'Actions On Objectives']",
First Time USB Usage,"Find systems the first time they generate Windows Event ID 20001, which for some customers occurs when a USB drive is plugged in.","['Endpoint Detection and Response', 'DLP']",Data Exfiltration,Insider Threat,"['Lateral Movement', 'Collection', 'Exfiltration']","['Replication Through Removable Media', 'Data from Removable Media', 'Exfiltration Over Physical Medium']",['Delivery'],"index=* source=""*WinEventLog:System"" 20001 EventCode=20001| stats earliest(_time) as earliest latest(_time) as latest  by host, source | where earliest > relative_time(now(), ""-1d@d"") "
Flight Risk Emailing,"This search implements several heuristics to look for indications that a user is a flight risk. While most savvy employees will use a personal email address when emailing competitors, everyone in Security has some story of employees who don't, as it will happen. Detect when it does.",['Email'],Insider Threat,Insider Threat,[],[],[],"index=* sourcetype=cisco:esa* OR sourcetype=ms:o365:*:messagetrace OR sourcetype=MSExchange*:MessageTracking OR tag=email src_user=*@mycompany.com dest_user!=*@mycompany.com | lookup LDAPSearch.csv mail as src_user OUTPUT firstname lastname | eval hasNameInAttachment=case(like(lower(file_name), ""%"" . lower(firstname) . ""%""), 1, like(lower(file_name), ""%"" . lower(lastname) . ""%""), 1,like(lower(file_name), ""%"" . lower(substr(firstname, 1, 1) . lastname) . ""%""), 1, 1=1, 0) | search hasNameInAttachment=1 OR file_name=*resume* OR (dest_user=careers@* OR dest_user=recruiting@* OR dest_user=jobs*)| bucket _time span=1d | stats list(dest_user) as recipients list(file_name) as file_names sum(hasNameInAttachment) dc(_time) as num_days by src_user | where num_days>1 OR mvcount(recipients) > 3 OR mvcount(file_names)>3"
Flight Risk Printing,"This search implements two heuristics to look for indications that a user is a flight risk. Many people will print offer letters, drafts of their resume, or related docs on the work environment (for convenience, or because they don't have a printer at home). Detect when that happens.",['User Activity Audit'],Insider Threat,Insider Threat,['Exfiltration'],['Exfiltration Over Physical Medium'],['Actions On Objectives'],"index=* sourcetype=uniflow OR (source=""*WinEventLog:System"" EventCode=307) (File_Printed=*resume* OR File_Printed=*interview* OR File_Printed=*offer*letter*) | bucket _time span=1d | stats dc(_time) as num_days list(File_Printed) by User | where num_days>1"
Flight Risk Web Browsing,This search implements several heuristics to look for indications that a user is a flight risk from Web Logs. Detect a user who may be leaving before they do.,['Web Proxy'],Insider Threat,Insider Threat,['Exfiltration'],[],[],index=pan_logs category=job-search | bucket _time span=1d | stats dc(_time) as num_days values(app) values(category) count as num_connections by user | where num_days>1
Geographically Improbable Access Detected against Category,"To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","['Authentication', 'AWS', 'Audit Trail']",GDPR,Compliance,['Initial Access'],['Valid Accounts'],[],"index=* sourcetype=aws:cloudtrail user=* | sort 0 user, _time | streamstats window=1 current=f values(_time) as last_time values(src) as last_src by user | lookup gdpr_aws_category accountId | where isnotnull(category) AND last_src != src AND _time - last_time < 8*60*60 | iplocation last_src | rename lat as last_lat lon as last_lon | eval location = City . ""|"" . Country . ""|"" . Region| iplocation src | eval rlat1 = pi()*last_lat/180, rlat2=pi()*lat/180, rlat = pi()*(lat-last_lat)/180, rlon= pi()*(lon-last_lon)/180 | eval a = sin(rlat/2) * sin(rlat/2) + cos(rlat1) * cos(rlat2) * sin(rlon/2) * sin(rlon/2) | eval c = 2 * atan2(sqrt(a), sqrt(1-a)) | eval distance = 6371 * c, time_difference_hours = round((_time - last_time) / 3600,2), speed=round(distance/ ( time_difference_hours),2) | fields - rlat* a c | eval day=strftime(_time, ""%m/%d/%Y"")| stats values(accountId) values(awsRegion) values(eventName) values(distance) values(eval(mvappend(last_Country, Country))) as Country values(eval(mvappend(last_City, City))) as City values(eval(mvappend(last_Region, Region))) as Region  values(lat) values(lon)  values(userAgent) max(speed) as max_speed_kph min(time_difference_hours) as min_time_difference_hours by day user distance"
Geographically Improbable Access Detected for Privileged Accounts,"Detecting when the same account is logged into twice in a short period of time but from locations very far away, is key to finding account compromise or account credential sharing for your privileged accounts.","['Authentication', 'AWS', 'Audit Trail']","Insider Threat, Account Sharing",Insider Threat,"['Privilege Escalation', 'Persistence']",['Valid Accounts'],[],"index=* sourcetype=aws:cloudtrail user=* | sort 0 user, _time | streamstats window=1 current=f values(_time) as last_time values(src) as last_src by user | lookup PrivilegedRiskScores user | where risk_score>0 AND last_src != src AND _time - last_time < 8*60*60 | iplocation last_src | rename lat as last_lat lon as last_lon | eval location = City . ""|"" . Country . ""|"" . Region| iplocation src | eval rlat1 = pi()*last_lat/180, rlat2=pi()*lat/180, rlat = pi()*(lat-last_lat)/180, rlon= pi()*(lon-last_lon)/180 | eval a = sin(rlat/2) * sin(rlat/2) + cos(rlat1) * cos(rlat2) * sin(rlon/2) * sin(rlon/2) | eval c = 2 * atan2(sqrt(a), sqrt(1-a)) | eval distance = 6371 * c, time_difference_hours = round((_time - last_time) / 3600,2), speed=round(distance/ ( time_difference_hours),2) | fields - rlat* a c | eval day=strftime(_time, ""%m/%d/%Y"")| stats values(accountId) values(awsRegion) values(eventName) values(distance) values(eval(mvappend(last_Country, Country))) as Country values(eval(mvappend(last_City, City))) as City values(eval(mvappend(last_Region, Region))) as Region  values(lat) values(lon)  values(userAgent) max(speed) as max_speed_kph min(time_difference_hours) as min_time_difference_hours by day user distance"
Healthcare Worker Opening More Patient Records Than Usual,"If a healthcare worker views more patient records than normal or more than their peers, it could be a sign that their system is infected, or that they are exfiltrating patient data.",['Audit Trail'],"Data Exfiltration, Insider Threat","Insider Threat, Advanced Threat Detection, Compliance",['Collection'],"['Data from Information Repositories', 'Data from Network Shared Drive']",['Actions on Objectives'],"index=* sourcetype=Cerner | bucket_time span=1d | stats dc(""event_list.participants.person_id"") as count by prsnl_name  _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by prsnl_name | eval lowerBound=(avg-stdev*3), upperBound=(avg+stdev*3)| where 'count' > upperBound AND num_data_samples >=7"
Hosts Receiving High Volume Of Network Traffic From Email Server,This search looks for an increase of data transfers from your email server to your clients. This could be indicative of a malicious actor collecting data using your email server.,['Network Communication'],Adversary Tactics,Advanced Threat Detection,['Collection'],['Email Collection'],['Actions On Objectives'],
Hosts Sending To More Destinations Than Normal,"This will typically detect scanning activity, along with lateral movement activity.",['Network Communication'],"Scanning, Endpoint Compromise","Advanced Threat Detection, Security Monitoring",['Discovery'],"['Remote System Discovery', 'Network Service Scanning']",['Reconnaissance'],"(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)  | bucket _time span=1d | stats dc(dest_ip) as count by src_ip, _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by src_ip | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Hosts Where Security Sources Go Quiet,A frequent concern of SOCs is that their data feeds will disappear. This search will look on a host-by-host basis for when your security sources stop reporting home.,['Any Splunk Logs'],Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Disabling Security Tools'],['Actions On Objectives'],
Hosts with Varied and Future Timestamps,One technique for foiling correlation searches is to alter the system time. This search will detect this scenario.,['Any Splunk Logs'],Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Timestomp'],['Actions On Objectives'],
In-Scope Device with Outdated Anti-Malware Found,"Alerts when a GDPR-tagged system has out of date malware definitions, which would conflict with GDPR's requirement to maintain a secure environment.",['Anti-Virus or Anti-Malware'],"GDPR, Endpoint Compromise","Security Monitoring, Compliance",[],[],[]," index=* sourcetype=symantec:* |stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name | where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate | lookup gdpr_system_category Host_Name | search category=* | convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
In-Scope System with Windows Update Disabled,Any GDPR-tagged systems not receiving updates could jeopardize your GDPR status due to Article 32. Detect systems where the Windows Update service is disabled.,['Patch Management'],"GDPR, Operations","Security Monitoring, Compliance",['Defense Evasion'],['Disabling Security Tools'],[],"index=* (sourcetype=wmi:service OR (source=winhostmon Type=Service) OR (tag=service tag=os))  (tag=update OR Name=wuauserv)  StartMode!=Auto  | bucket _time span=1d | stats latest(Status) as Status latest(StartMode) as StartMode by _time host Name | lookup gdpr_system_category.csv host | search category=*| stats earliest(_time) as earliest latest(_time) as latest  by StartMode, host | where earliest > relative_time(now(), ""-1d@d"") "
Increase in # of Hosts Logged into,Find users who log into more hosts than they typically do.,"['Authentication', 'Windows Security']",Lateral Movement,Advanced Threat Detection,['Lateral Movement'],['Remote Services'],"['Installation', 'Actions On Objectives']","index=* source=""*WinEventLog:Security"" (4624 OR 4647 OR 4648 OR 551 OR 552 OR 540 OR 528 OR 4768 OR 4769 OR 4770 OR 4771 OR 4768 OR 4774 OR 4776 OR 4778 OR 4779 OR 672 OR 673 OR 674 OR 675 OR 678 OR 680 OR 682 OR 683) | bucket _time span=1d | stats dc(host) as count by user _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Increase in Pages Printed,Find users who printed more pages than normal.,['User Activity Audit'],Data Exfiltration,Insider Threat,['Exfiltration'],['Exfiltration Over Physical Medium'],['Actions On Objectives'],"index=*  sourcetype=uniflow OR (source=""*WinEventLog:System"" EventCode=307) | bucket _time span=1d | stats sum(Page_Count) as Pages by User _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'Pages',null))) as Pages avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'Pages',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'Pages',null))) as stdev by User | eval lowerBound=(avg-stdev*1), upperBound=(avg+stdev*1)| where 'Pages' > upperBound AND num_data_samples >=7"
Increase in Source Code (Git) Downloads,Find users who have downloaded more files from git than normal.,['Web Server'],Data Exfiltration,"Insider Threat, Advanced Threat Detection",['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=* source=""*/atlassian-bitbucket-access.log"" | bucket _time span=1d | stats count by user _time | stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Increase in Windows Privilege Escalations,"Privilege escalation (either via RunAs or Scheduled Tasks) create Windows Security EventID 4648 events. This search will baseline per (original, unprivileged) user and then track deviations.",['Windows Security'],Account Compromise,Security Monitoring,['Privilege Escalation'],"['Scheduled Task/Job', 'Access Token Manipulation']",['Installation'],"index=* source=""*WinEventLog:Security"" 4648 EventCode=4648 | search NOT Account_Name=*$ | eval Unprivileged_Account_Name=mvindex(Account_Name, 1) | bucket _time span=1d | stats count by _time Unprivileged_Account_Name| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Instance Created by Unusual User,Detects the first time a user creates a new instance.,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, SaaS",Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventType=* NOT errorMessage=* eventName=RunInstances | stats earliest(_time) as earliest latest(_time) as latest  by user, eventName | where earliest > relative_time(now(), ""-1d@d"") "
Instance Modified by Unusual User,Detects the first time a user modifies an existing instance.,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, SaaS",Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventName=ConsoleLogin OR eventName=CreateImage OR eventName=AssociateAddress OR eventName=AttachInternetGateway OR eventName=AttachVolume OR eventName=StartInstances OR eventName=StopInstances OR eventName=UpdateService OR eventName=UpdateLoginProfile| stats earliest(_time) as earliest latest(_time) as latest  by user, eventName | where earliest > relative_time(now(), ""-1d@d"") "
Kerberoasting Spn Request With RC4 Encryption,This search detects a potential kerberoasting attack via service principal name requests,['Windows Security'],Adversary Tactics,Security Monitoring,['Credential Access'],['Steal or Forge Kerberos Tickets'],[],
Large Web Upload,"Uses a basic threshold to detect a large web upload, which could be exfiltration from malware or a malicious insider.",['Web Proxy'],Data Exfiltration,"Security Monitoring, Insider Threat",['Exfiltration'],"['Exfiltration Over C2 Channel', 'Exfiltration Over Alternative Protocol']",[],index=* sourcetype=pan:traffic OR (tag=web tag=proxy) OR (sourcetype=opsec URL Filtering) OR sourcetype=bluecoat:proxysg* OR sourcetype=websense* earliest=-10m | where bytes_out>35000000 | table _time src_ip user bytes* app uri 
Large Web Upload,"Uses a basic threshold to detect a large web upload, which could be exfiltration from malware or a malicious insider.",['Web Proxy'],Data Exfiltration,"Security Monitoring, Insider Threat",['Exfiltration'],"['Exfiltration Over C2 Channel', 'Exfiltration Over Alternative Protocol']",[],index=* sourcetype=pan:traffic OR (tag=web tag=proxy) OR (sourcetype=opsec URL Filtering) OR sourcetype=bluecoat:proxysg* OR sourcetype=websense* earliest=-10m | where bytes_out>35000000 | table _time src_ip user bytes* app uri 
Local Account Creation,Triggered when an account is created on a workstation or endpoint. This is a local Windows account when the machine is joined to a domain.,['Windows Security'],"Endpoint Compromise, Privilege Escalation",Security Monitoring,['Persistence'],['Create Account'],[],
Malicious Command Line Executions,Ransomware and other malware variants often execute long commands using command line arguments. This search performs statistical analysis of these CLI arguments to detect potentially malicious executions.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,"['Execution', 'Defense Evasion']","['Command-Line Interface', 'Scripting']",['Installation'],"index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1 | eval cmdlen=len(CommandLine) | eventstats stdev(cmdlen) as stdev,avg(cmdlen) as avg by host | stats max(cmdlen) as maxlen, values(stdev) as stdevperhost, values(avg) as avgperhost by host,CommandLine | where maxlen> ((10*stdevperhost) + avgperhost)"
Many USB File Copies for User,"Build a baseline of how many file copies each user does to USB media, and detect when a user copies an uncharacteristically large number of files.","['DLP', 'Endpoint Detection and Response']",Insider Threat,Insider Threat,['Exfiltration'],['Exfiltration Over Physical Medium'],['Actions on Objectives'],"index=* source=""*WinEventLog:Security"" EventCode=4663 Object_Name=* (Accesses=""WriteData *"" OR Accesses=""AppendData *"") | regex Object_Name!=""^.Device.HarddiskVolume\d*.\s*$"" | bucket _time span=1d | stats count by user _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*5), upperBound=(avg+stdev*5)| where 'count' > upperBound AND num_data_samples >=7"
Monitor AutoRun Registry Keys,Attackers often add malware to the Windows Autorun registry keys to maintain persistence. This search looks through registry data for suspicious activities.,['Endpoint Detection and Response'],Endpoint Compromise,Advanced Threat Detection,['Persistence'],['Registry Run Keys / Startup Folder'],['Installation'],"index=* source=winRegistry process_image=""*AppData\\*"" key_path=""*currentversion\\run*"" | table _time, host, process_image, key_path"
Monitor Registry Keys For Print Monitors,"This search looks for registry activity associated with modifications to the registry key HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors. In this scenario, an attacker can load an arbitrary .dll into the print-monitor registry by giving the full path name to the after.dll. The system will execute the .dll with elevated (SYSTEM) permissions and will persist after reboot.",['Windows Security'],Endpoint Compromise,Advanced Threat Detection,[],[],['Actions On Objectives'],
Monitor Successful Backups,"With good backups, a ransomware attack goes from unrecoverable losses to a manageable nuisance. This shows how you can track successful backups.",['Backup'],"Operations, GDPR, Ransomware","Security Monitoring, Compliance",[],[],[],"index=* sourcetype=""netbackup_logs"" ""Disk/Partition backup completed successfully."" | bucket _time span=1d | stats values(COMPUTERNAME) as ""Systems Backed Up"" by _time, MESSAGE"
Monitor Successful Windows Updates,Malware often uses operating system vulnerabilities to infect an endpoint or to spread. This example verifies the Windows updates for specific vulnerabilities exploited by the WannaCry ransomware.,['Patch Management'],"Operations, GDPR, Ransomware","Security Monitoring, Compliance",[],[],[],"index=* (source=""*WinEventLog:System"" OR source=""windowsUpdateLog"") (KB4012598 OR KB4012212 OR KB4012215 OR KB4012213 OR KB4012216 OR KB4012214 OR KB4012217 OR KB4012606 OR KB4013198 OR KB4013429) | stats latest(status) as lastStatus by _time, dest, signature, signature_id | search lastStatus=installed"
Monitor Unsuccessful Backups,"With good backups, a ransomware attack goes from unrecoverable losses to a manageable nuisance. This shows how you can analyze failed backups.",['Backup'],"Operations, Ransomware",Security Monitoring,[],[],[],"index=* sourcetype=""netbackup_logs"" ""An error occurred, failed to backup."" | bucket _time span=1d | stats values(COMPUTERNAME) as ""Back Up Failures"" by _time, MESSAGE "
Monitor Unsuccessful Windows Updates,Keeping current with Microsoft updates for Windows is one of the best ways to prevent malware. This example identifies hosts that have failed to implement appropriate updates.,['Patch Management'],"Operations, Ransomware",Security Monitoring,[],[],[],"index=* source=windowsUpdateLog (KB4012598 OR KB4012212 OR KB4012215 OR KB4012213 OR KB4012216 OR KB4012214 OR KB4012217 OR KB4012606 OR KB4013198 OR KB4013429) | stats latest(status) as lastStatus by _time, dest, signature, signature_id | search lastStatus=failure"
Multiple Infections on Host,Finds hosts that have logged multiple different infections in a short period of time.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution']","['Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link', 'User Execution']",['Delivery'],"index=* sourcetype=symantec:* earliest=-24h | transaction maxpause=1h Computer_Name | where eventcount >=3 AND duration>240 | table _time Occurrences, signature, Requested_Action, Actual_Action, Secondary_Action, ApplicationHash, HashType, dest, src, user, Confidence, Disposition, file_path, Prevalence"
Multiple Infections on Host,Finds hosts that have logged multiple different infections in a short period of time.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution']","['Drive-by Compromise', 'Spearphishing Attachment', 'Spearphishing Link', 'User Execution']",['Delivery'],"index=* sourcetype=symantec:* earliest=-24h | transaction maxpause=1h Computer_Name | where eventcount >=3 AND duration>240 | table _time Occurrences, signature, Requested_Action, Actual_Action, Secondary_Action, ApplicationHash, HashType, dest, src, user, Confidence, Disposition, file_path, Prevalence"
New AD Domain Detected,"New AD domain names in your normal domain controller logs are a symptom of many Pass the Hash tools. While some of the latest don't produce these artifacts, this remains a very valuable detection mechanism.",['Windows Security'],Lateral Movement,"Advanced Threat Detection, Compliance",['Lateral Movement'],['Pass the Hash'],['Installation'],"index=* source=""*WinEventLog:Security"" EventCode=4624 Authentication_Package=NTLM Type=Information Account_Name!=""ANONYMOUS LOGON"" Logon_Type=3 Logon_Process=""NtLmSsP"" NOT Security_ID!=""NULL SID"" Key_Length=0| stats earliest(_time) as earliest latest(_time) as latest  by Account_Domain, EventCode | where earliest > relative_time(now(), ""-1d@d"") "
New Application Accessing Salesforce.com API,Salesforce.com contains the most critical information for many companies. This search looks for users who connect to SFDC's reporting API with new clients.,['Audit Trail'],"Data Exfiltration, GDPR, SaaS","Compliance, Insider Threat",['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=sfdc CLIENT_NAME=* EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI | lookup SFDC_User_Lookup USER_ID| stats earliest(_time) as earliest latest(_time) as latest  by USER_NAME, CLIENT_NAME | where earliest > relative_time(now(), ""-1d@d"") "
New Cloud API Call Per Peer Group,"Looks for users that are using APIs that neither they, nor their team has ever used before.","['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, Insider Threat, SaaS","Advanced Threat Detection, Insider Threat","['Persistence', 'Privilege Escalation']",['Valid Accounts'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventType=* NOT errorMessage=* NOT eventName=Describe* NOT eventName=Get* NOT eventName=List*m| stats earliest(_time) as earliest latest(_time) as latest  by user, eventName | lookup $outlierPeerGroupControlToken$ user OUTPUT peergroup | makemv peergroup delim="","" | multireport [| stats values(*) as * by user  eventName  ] [| stats values(eval(if(earliest>=relative_time(now(),""-1d@d""),eventName ,null))) as peertoday values(eval(if(earliest<relative_time(now(),""-1d@d""),eventName ,null))) as peerpast by peergroup eventName ] | eval user=coalesce(user, peergroup) | fields - peergroup | stats values(*) as * by user  eventName | where isnotnull(earliest)"
New Cloud Provider for User,Detect a user who is accessing a cloud storage provider they've never used before.,['Web Proxy'],"Data Exfiltration, Insider Threat, Shadow IT","Insider Threat, Security Monitoring","['Exfiltration', 'Command and Control']","['Exfiltration Over Alternative Protocol', 'Web Service']",['Actions on Objectives'],"index=* (tag=web OR sourcetype=pan:traffic OR (sourcetype=opsec URL Filtering) OR sourcetype=bluecoat:proxysg* OR sourcetype=websense*)  bytes_out>1 app=*  | search (category=online-storage-and-backup OR category=""File Storage/Sharing"" OR category=""File Storage and Sharing"" OR category=""whatever_category_your_proxy_uses"") | stats earliest(_time) as earliest latest(_time) as latest  by user, app | where earliest > relative_time(now(), ""-1d@d"") "
New Connection to In-Scope Device,"Alert Data Protection Officers to new systems that become involved in processing GDPR-scoped data via network communication logs, so DPOs can ensure the systems are authorized and documented.",['Network Communication'],"GDPR, Operations","Security Monitoring, Compliance",[],[],[],"index=* ((tag=traffic tag=communicate) OR sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco*) src_ip=* dest_ip=* | stats count min(_time) as earliest max(_time) as maxtime  by src_ip, dest_ip | lookup gdpr_system_category host as dest_ip | search category=*| where earliest>relative_time(now(), ""-1d@d"")"
New Data Exfil DLP Alerts for User,"When you first seen an alert from a user who hasn't generated DLP alerts for data exfiltration before, learn about that.",['DLP'],Insider Threat,Insider Threat,['Exfiltration'],['Exfiltration'],['Actions on Objectives'],"index=* tag=dlp tag=incident | stats earliest(_time) as earliest latest(_time) as latest  by user, signature | where earliest > relative_time(now(), ""-1d@d"") "
New High Risk Event Types for Salesforce.com User,Salesforce.com supports a variety of different event types in their event logs. This search detects users who suddenly query event types associated with data exfiltration,['Audit Trail'],"Data Exfiltration, GDPR, SaaS","Compliance, Insider Threat","['Exfiltration', 'Command and Control']","['Exfiltration', 'Web Service']",['Actions on Objectives'],"index=sfdc EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI OR EVENT_TYPE=ReportExport | lookup SFDC_User_Lookup USER_ID| stats earliest(_time) as earliest latest(_time) as latest  by USER_NAME, EVENT_TYPE | where earliest > relative_time(now(), ""-1d@d"") "
